Date,Sequential Number,Variable Name,Value
1972-01-31,1,FLOW_OUT_1_1972,18.0483871
1972-02-29,2,FLOW_OUT_2_1972,22.27586207
1972-03-31,3,FLOW_OUT_3_1972,41.89032258
1972-04-30,4,FLOW_OUT_4_1972,32.57666667
1972-05-31,5,FLOW_OUT_5_1972,22.62258065
1972-06-30,6,FLOW_OUT_6_1972,25.22333333
1972-07-31,7,FLOW_OUT_7_1972,43.93870968
1972-08-31,8,FLOW_OUT_8_1972,31.88709677
1972-09-30,9,FLOW_OUT_9_1972,30.87
1972-10-31,10,FLOW_OUT_10_1972,18.07741935
1972-11-30,11,FLOW_OUT_11_1972,20.79
1972-12-31,12,FLOW_OUT_12_1972,12.97258065
1973-01-31,13,FLOW_OUT_1_1973,15.10129032
1973-02-28,14,FLOW_OUT_2_1973,25.10714286
1973-03-31,15,FLOW_OUT_3_1973,27.88387097
1973-04-30,16,FLOW_OUT_4_1973,20.64666667
1973-05-31,17,FLOW_OUT_5_1973,30.97419355
1973-06-30,18,FLOW_OUT_6_1973,19.23866667
1973-07-31,19,FLOW_OUT_7_1973,91.4383871
1973-08-31,20,FLOW_OUT_8_1973,308.7267742
1973-09-30,21,FLOW_OUT_9_1973,103.29
1973-10-31,22,FLOW_OUT_10_1973,93.66129032
1973-11-30,23,FLOW_OUT_11_1973,38.13666667
1973-12-31,24,FLOW_OUT_12_1973,20.22258065
1974-01-31,25,FLOW_OUT_1_1974,18.50322581
1974-02-28,26,FLOW_OUT_2_1974,27.41785714
1974-03-31,27,FLOW_OUT_3_1974,42.1516129
1974-04-30,28,FLOW_OUT_4_1974,27.77
1974-05-31,29,FLOW_OUT_5_1974,36.08064516
1974-06-30,30,FLOW_OUT_6_1974,18.01
1974-07-31,31,FLOW_OUT_7_1974,69.41645161
1974-08-31,32,FLOW_OUT_8_1974,74.70645161
1974-09-30,33,FLOW_OUT_9_1974,55.10333333
1974-10-31,34,FLOW_OUT_10_1974,59.22580645
1974-11-30,35,FLOW_OUT_11_1974,45.08
1974-12-31,36,FLOW_OUT_12_1974,28.76451613
1975-01-31,37,FLOW_OUT_1_1975,24.37419355
1975-02-28,38,FLOW_OUT_2_1975,31.66071429
1975-03-31,39,FLOW_OUT_3_1975,40.98709677
1975-04-30,40,FLOW_OUT_4_1975,30.63
1975-05-31,41,FLOW_OUT_5_1975,36.78709677
1975-06-30,42,FLOW_OUT_6_1975,22.44
1975-07-31,43,FLOW_OUT_7_1975,136.8806452
1975-08-31,44,FLOW_OUT_8_1975,74.63225806
1975-09-30,45,FLOW_OUT_9_1975,216.5233333
1975-10-31,46,FLOW_OUT_10_1975,211.8064516
1975-11-30,47,FLOW_OUT_11_1975,110.8766667
1975-12-31,48,FLOW_OUT_12_1975,50.43548387
1976-01-31,49,FLOW_OUT_1_1976,36.16129032
1976-02-29,50,FLOW_OUT_2_1976,49.14827586
1976-03-31,51,FLOW_OUT_3_1976,50.08064516
1976-04-30,52,FLOW_OUT_4_1976,47.24
1976-05-31,53,FLOW_OUT_5_1976,31.62903226
1976-06-30,54,FLOW_OUT_6_1976,30.92333333
1976-07-31,55,FLOW_OUT_7_1976,34.5483871
1976-08-31,56,FLOW_OUT_8_1976,222.2870968
1976-09-30,57,FLOW_OUT_9_1976,199.9966667
1976-10-31,58,FLOW_OUT_10_1976,62.39354839
1976-11-30,59,FLOW_OUT_11_1976,37.91666667
1976-12-31,60,FLOW_OUT_12_1976,29.93870968
1977-01-31,61,FLOW_OUT_1_1977,18.15806452
1977-02-28,62,FLOW_OUT_2_1977,28.78214286
1977-03-31,63,FLOW_OUT_3_1977,41.31290323
1977-04-30,64,FLOW_OUT_4_1977,27.61
1977-05-31,65,FLOW_OUT_5_1977,29.70645161
1977-06-30,66,FLOW_OUT_6_1977,29.65533333
1977-07-31,67,FLOW_OUT_7_1977,224.8032258
1977-08-31,68,FLOW_OUT_8_1977,108.1741935
1977-09-30,69,FLOW_OUT_9_1977,62.25
1977-10-31,70,FLOW_OUT_10_1977,32.3
1977-11-30,71,FLOW_OUT_11_1977,35.47
1977-12-31,72,FLOW_OUT_12_1977,26.0
1978-01-31,73,FLOW_OUT_1_1978,16.91709677
1978-02-28,74,FLOW_OUT_2_1978,24.04642857
1978-03-31,75,FLOW_OUT_3_1978,36.22258065
1978-04-30,76,FLOW_OUT_4_1978,21.36333333
1978-05-31,77,FLOW_OUT_5_1978,25.40741935
1978-06-30,78,FLOW_OUT_6_1978,39.33333333
1978-07-31,79,FLOW_OUT_7_1978,206.8290323
1978-08-31,80,FLOW_OUT_8_1978,77.44516129
1978-09-30,81,FLOW_OUT_9_1978,80.20666667
1978-10-31,82,FLOW_OUT_10_1978,50.14516129
1978-11-30,83,FLOW_OUT_11_1978,39.73
1978-12-31,84,FLOW_OUT_12_1978,24.07096774
1979-01-31,85,FLOW_OUT_1_1979,20.2516129
1979-02-28,86,FLOW_OUT_2_1979,29.175
1979-03-31,87,FLOW_OUT_3_1979,33.48064516
1979-04-30,88,FLOW_OUT_4_1979,24.39166667
